HPO term ID	HPO name	HPO child (is_a)	icd10	icd10 string	OMIM disease ID(s)
11675	Arrhythmia	1649	I47.2	Ventricular tachycardia	235200,310200
2414	Spina bifida	2414	Q05.0	Cervical spina bifida with hydrocephalus	162200
2414	Spina bifida	2414	Q05.5	Cervical spina bifida without hydrocephalus	162200
2414	Spina bifida	2414	Q05	Spina bifida	162200
2414	Spina bifida	2414	Q05.1	Thoracic spina bifida with hydrocephalus	162200
2414	Spina bifida	2414	Q05.2	Lumbar spina bifida with hydrocephalus	162200
2414	Spina bifida	2414	Q05.3	Sacral spina bifida with hydrocephalus	162200
2414	Spina bifida	2414	Q05.4	Unspecified spina bifida with hydrocephalus	162200
2414	Spina bifida	2414	Q05.6	Thoracic spina bifida without hydrocephalus	162200
2414	Spina bifida	2414	Q05.7	Lumbar spina bifida without hydrocephalus	162200
2414	Spina bifida	2414	Q05.8	Sacral spina bifida without hydrocephalus	162200
2414	Spina bifida	2414	Q05.9	Spina bifida, unspecified	162200
9830	Peripheral neuropathy	763	G64	Other disorders of peripheral nervous system	101000
1903	Anemia	1891	D50.8	Other iron deficiency anemias	187300
11675	Arrhythmia	1663	I49.01	Ventricular fibrillation	235200,310200
370	Abnormality of the middle ear	370	H65.3	Chronic mucoid otitis media	188400
370	Abnormality of the middle ear	370	H65.30	Chronic mucoid otitis media, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.31	Chronic mucoid otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.32	Chronic mucoid otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.33	Chronic mucoid otitis media, bilateral	188400
518	Cataract	518	H25.011	Cortical age-related cataract, right eye	261600,154700
518	Cataract	518	H25.012	Cortical age-related cataract, left eye	261600,154700
518	Cataract	518	H25.013	Cortical age-related cataract, bilateral	261600,154700
518	Cataract	518	H25.019	Cortical age-related cataract, unspecified eye	261600,154700
518	Cataract	518	H25.1	Age-related nuclear cataract	261600,154700
518	Cataract	518	H25.10	Age-related nuclear cataract, unspecified eye	261600,154700
518	Cataract	518	H25.11	Age-related nuclear cataract, right eye	154700,261600
518	Cataract	518	H25.12	Age-related nuclear cataract, left eye	154700,261600
518	Cataract	518	H25.13	Age-related nuclear cataract, bilateral	154700,261600
11675	Arrhythmia	1649	I47.0	Re-entry ventricular arrhythmia	235200,310200
370	Abnormality of the middle ear	370	H65.9	Unspecified nonsuppurative otitis media	188400
370	Abnormality of the middle ear	370	H65.90	Unspecified nonsuppurative otitis media, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.91	Unspecified nonsuppurative otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.92	Unspecified nonsuppurative otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.93	Unspecified nonsuppurative otitis media, bilateral	188400
518	Cataract	518	H25.01	Cortical age-related cataract	261600,154700
518	Cataract	518	H25.09	Other age-related incipient cataract	154700,261600
518	Cataract	518	H25.091	Other age-related incipient cataract, right eye	261600,154700
518	Cataract	518	H25.092	Other age-related incipient cataract, left eye	261600,154700
518	Cataract	518	H25.093	Other age-related incipient cataract, bilateral	261600,154700
518	Cataract	518	H25.099	Other age-related incipient cataract, unspecified eye	261600,154700
518	Cataract	518	H25	Age-related cataract	154700,261600
518	Cataract	518	H25.0	Age-related incipient cataract	154700,261600
518	Cataract	518	H25.03	Anterior subcapsular polar age-related cataract	261600,154700
518	Cataract	518	H25.031	Anterior subcapsular polar age-related cataract, right eye	154700,261600
518	Cataract	518	H25.032	Anterior subcapsular polar age-related cataract, left eye	154700,261600
518	Cataract	518	H25.033	Anterior subcapsular polar age-related cataract, bilateral	154700,261600
518	Cataract	518	H25.039	Anterior subcapsular polar age-related cataract, unspecified eye	154700,261600
518	Cataract	518	H25.04	Posterior subcapsular polar age-related cataract	154700,261600
518	Cataract	518	H25.041	Posterior subcapsular polar age-related cataract, right eye	154700,261600
518	Cataract	518	H25.042	Posterior subcapsular polar age-related cataract, left eye	154700,261600
518	Cataract	518	H25.043	Posterior subcapsular polar age-related cataract, bilateral	154700,261600
518	Cataract	518	H25.049	Posterior subcapsular polar age-related cataract, unspecified eye	154700,261600
518	Cataract	518	H25.2	Age-related cataract, morgagnian type	154700,261600
518	Cataract	518	H25.20	Age-related cataract, morgagnian type, unspecified eye	154700,261600
518	Cataract	518	H25.21	Age-related cataract, morgagnian type, right eye	154700,261600
518	Cataract	518	H25.22	Age-related cataract, morgagnian type, left eye	154700,261600
518	Cataract	518	H25.23	Age-related cataract, morgagnian type, bilateral	154700,261600
518	Cataract	518	H25.8	Other age-related cataract	154700,261600
518	Cataract	518	H25.81	Combined forms of age-related cataract	154700,261600
518	Cataract	518	H25.811	Combined forms of age-related cataract, right eye	261600,154700
518	Cataract	518	H25.812	Combined forms of age-related cataract, left eye	261600,154700
518	Cataract	518	H25.813	Combined forms of age-related cataract, bilateral	261600,154700
518	Cataract	518	H25.819	Combined forms of age-related cataract, unspecified eye	261600,154700
518	Cataract	518	H25.89	Other age-related cataract	261600,154700
518	Cataract	518	H25.9	Unspecified age-related cataract	261600,154700
518	Cataract	518	Q12.0	Congenital cataract	261600,154700
2094	Dyspnea	2094	R06.00	Dyspnea, unspecified	187300,613490
2094	Dyspnea	2094	R06.02	Shortness of breath	613490,187300
2094	Dyspnea	2094	R06.09	Other forms of dyspnea	187300,613490
2414	Spina bifida	2414	Q76.0	Spina bifida occulta	162200
370	Abnormality of the middle ear	370	H65.0	Acute serous otitis media	188400
370	Abnormality of the middle ear	370	H65.00	Acute serous otitis media, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.01	Acute serous otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.02	Acute serous otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.03	Acute serous otitis media, bilateral	188400
370	Abnormality of the middle ear	370	H65.04	Acute serous otitis media, recurrent, right ear	188400
370	Abnormality of the middle ear	370	H65.05	Acute serous otitis media, recurrent, left ear	188400
370	Abnormality of the middle ear	370	H65.06	Acute serous otitis media, recurrent, bilateral	188400
370	Abnormality of the middle ear	370	H65.07	Acute serous otitis media, recurrent, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.2	Chronic serous otitis media	188400
370	Abnormality of the middle ear	370	H65.20	Chronic serous otitis media, unspecified ear	188400
370	Abnormality of the middle ear	370	H65.21	Chronic serous otitis media, right ear	188400
370	Abnormality of the middle ear	370	H65.22	Chronic serous otitis media, left ear	188400
370	Abnormality of the middle ear	370	H65.23	Chronic serous otitis media, bilateral	188400
370	Abnormality of the middle ear	370	H65.49	Other chronic nonsuppurative otitis media	188400
